datasets,RL 60%,RL 70%,RL 80%,MMx,MMy,MMz,Relax time
Stars_0,0.0046851454487,0.00584214319084,0.00740354488879,-0.00241026863574,-0.00164478082424,-0.00378137653671,6.3416622573e+12
Stars_1,0.00467751222204,0.00583036003873,0.00740012615263,-0.00254692859119,0.00329873931163,0.00171880446019,2.60535746303e+12
Stars_2,0.0045800951375,0.00576458214232,0.007390317037,-0.00467010050307,-0.00165675281281,0.00334992885484,3.53707855962e+12
Stars_3,0.00454527428339,0.00574022951308,0.00737074044951,-0.0048058050667,-0.00379413301598,0.00130105469034,3.11949618102e+12
Stars_4,0.00451298094548,0.00568483468994,0.00736943025571,0.00227215203959,0.00665807164761,0.00251823318402,3.10415131558e+12
Stars_5,0.00448212461031,0.0056516864361,0.0073588539853,-0.000463214271536,0.00144166654179,0.000140198523181,930736637819.0
Stars_6,0.00411176824423,0.00536293719883,0.00719726999729,0.00460593293869,-0.00155595022318,-0.00121391405485,1.60484982873e+12
Stars_7,0.00409770229441,0.00535819800152,0.00719970705762,-0.00161497000507,-0.00447481161476,0.00117338181124,1.74222028704e+12
Stars_8,0.00406464471493,0.00534449705121,0.00715402273179,0.000145746093714,0.000171420042011,0.000107417366451,241086633976.0
Stars_9,0.00392940393052,0.00527923766476,0.00709865156109,0.0010638009421,0.00174496474959,0.028658580318,6.13166688011e+12
Stars_10,0.00371427215758,0.00513276154282,0.00699606290084,-0.00017131638717,-0.0145071270354,0.000545397473411,4.24920323175e+12
Stars_11,0.00349827612015,0.00501108572254,0.00690244139957,0.00125202704285,-0.000248310738723,-0.0002425934512,312140617693.0
Stars_12,0.00349576061546,0.00501005728096,0.00690208967086,0.000429014418403,-0.000986227610078,0.00147492112838,400767918935.0
Stars_13,0.00344430790196,0.00496391498096,0.0068672160026,0.00219427748121,-0.00050385985288,0.00266772262014,643619112841.0
Stars_14,0.00343957000068,0.00496314064715,0.00686365451092,0.000326221542812,-4.07052035922e-05,6.79690362224e-05,162644497038.0
Stars_15,0.00339956823592,0.00492889132931,0.00685159064842,0.00357660510779,0.00419061452072,0.00273299215467,1.43835530088e+12
Stars_16,0.00320848855444,0.00477799660486,0.00674668672592,0.00351628244924,0.00411707236965,0.00268284545821,1.31219401787e+12
Stars_17,0.00280417011502,0.00453275888134,0.00658817325112,-0.000249415984648,0.000227983244214,-0.00027728281604,1.13015763737e+12
Stars_18,0.00212099156499,0.00397752402647,0.00626209667953,0.00165814590658,-0.000190531156037,-0.000798719347921,3.43420973652e+12
Stars_19,0.00252980514579,0.00322050329376,0.00571214837721,0.00137298500888,0.000690598026267,0.00191792433183,1.39819094978e+12
Stars_20,0.00257056662026,0.0032154796424,0.00563228815995,-0.000157051100197,-6.68808042692e-05,0.000409980259902,325510871448.0
Stars_21,0.00269963065791,0.00332878794024,0.00538007992124,0.000378884784324,4.33661055714e-05,0.000131320752511,562870223177.0
Stars_22,0.00269759717266,0.00333269106608,0.00537651297867,-0.0021503157697,-0.0011525686117,0.000927702329982,1.65939334961e+12
Stars_23,0.00269669187006,0.00336273327925,0.00533840154505,0.000300262239621,-0.00133787776957,0.00174310046172,507527078384.0
Stars_24,0.00276181964808,0.00347343627657,0.00511169208897,-0.00506902173185,-0.00352100229345,-0.00342701645132,919346068084.0
Stars_25,0.00286014001607,0.0035337888389,0.00504202540309,0.00129057639102,-0.000675212535128,0.00120269332654,285534661400.0
Stars_26,0.00292649075467,0.00357330077557,0.0049215214671,-0.00022182310702,-0.00281289155789,0.00275835371775,390554095154.0
Stars_27,0.00305103877377,0.00369949650801,0.00497898755711,0.00115631459719,0.00207667275788,-0.00123337576407,324790050046.0
Stars_28,0.00323051473354,0.00393892456734,0.0051342150462,-0.00306646225545,-0.000367844162381,0.00624266130895,915535448077.0
Stars_29,0.00338287979821,0.00422165297676,0.00517962102325,2.79489557661e-05,-9.28449075154e-05,0.000127162431849,218140310473.0
Stars_30,0.00351600585587,0.00428928199257,0.00535553384814,-0.000284473034259,-0.000210212733407,0.000286630433194,268398972400.0
Stars_31,0.00368365474795,0.00471197402527,0.00571564086849,0.000885165007424,-0.00690327099847,0.00278724917628,1.2342408249e+12
Stars_32,0.00370264053477,0.00471771732899,0.005753019511,0.000329632022894,-0.000342063245995,-0.000236473047528,240158984305.0
Stars_33,0.00373100784371,0.00483668945086,0.00587922377217,0.00229954931866,-0.00615564255637,0.0015524065302,4.15373951707e+12
Stars_34,0.00371791438903,0.0048320556808,0.00588590716316,0.000178412340631,-0.000100640237867,0.000325157054409,231732429143.0
Stars_35,0.00370836414456,0.00486190657592,0.00595861917721,0.000766315325642,0.000103709006447,0.00031813644239,367802287030.0
Stars_36,0.00375926983157,0.00487426184744,0.00605468960909,-0.00123184601603,0.00096981203828,-0.000794397364968,784679906092.0
Stars_37,0.00377995705475,0.00490013659528,0.00611048269568,0.000596626749473,0.000286663882022,0.000543094316892,534538283841.0
Stars_38,0.00378653880469,0.00489821009997,0.00612138245734,0.000161554606754,-0.00179914433956,-0.00748041511697,1.92040996793e+12
Stars_39,0.00364280251735,0.00535433613378,0.00701094208716,0.00237806008415,0.000145780984362,-0.00449336441478,695576271761.0
Stars_40,0.00363599800288,0.0054100629904,0.00717565147352,0.000767174997956,-3.75991041604e-05,0.000953826905441,418195888312.0
Stars_41,0.00359117208958,0.00538000368226,0.00722809286336,0.000819347405033,-0.000477661711667,0.00114775711718,803843134860.0
Stars_42,0.00364524926777,0.00533193083738,0.00739167460822,0.00276839926543,-0.000783526939203,-0.0012189800598,581284989490.0
Stars_43,0.00384107908881,0.00547214919475,0.0076534130701,0.0035148212721,0.010869960735,0.000919157863623,1.60525362462e+12
Stars_44,0.00387990039133,0.00545411075891,0.00772936575095,-0.00447552688181,-0.00523890162465,0.000889971159425,1.4299957415e+12
Stars_45,0.00379894307479,0.00548082286779,0.00778510551407,-0.0028476357261,0.00171333631263,-0.000314961410798,1.24485333031e+12
Stars_46,0.00372816200354,0.00544105012887,0.00775411633558,0.000442297624954,0.000922676268455,-0.000685327506964,317702717547.0
Stars_47,0.00373582376328,0.00539226628313,0.00780128257485,-0.00176702540279,0.00381474163779,-0.00530581293311,697347487429.0
Stars_48,0.00371842886189,0.00535794047813,0.00778282453044,0.000827172952683,2.52151877174e-06,8.36620759813e-05,639497456941.0
Stars_49,0.00374799029884,0.00532883143644,0.00781634999232,0.000879071247523,-0.000966102391425,0.000339398994448,424594435383.0
Stars_50,0.00366381216816,0.00528073862599,0.00779964960831,-0.00189723961699,0.00120126669049,-0.00207749942639,622910301388.0
Stars_51,0.00371775739706,0.00524189158547,0.00764220108342,-0.000545425286693,-2.9203461825e-06,-0.000732780980816,566624352370.0
Stars_52,0.00370435426794,0.00515638332172,0.00750835445688,0.00176921432373,-0.000941959177616,0.000869694740054,536856911457.0
Stars_53,0.00373127318058,0.00519216643796,0.0074851461474,6.74962400667e-05,-0.000153784804372,0.000455590561072,208774849034.0
Stars_54,0.00354712905994,0.00522935425436,0.00744474310458,0.0143406909698,-0.00394772023561,0.00760310253018,1.9697630703e+12
Stars_55,0.00353330463359,0.00520420105442,0.00747981433006,0.000469708012559,1.17817418794e-06,0.000939763218859,367660892426.0
Stars_56,0.00358082536087,0.00522865524764,0.00747419600023,-0.00508104329605,-0.00258817239132,-0.00638996832525,1.47775347778e+12
Stars_57,0.00370556348106,0.0052674067247,0.00720809208278,0.000719403993374,-5.81917491933e-05,0.000171693302455,398077411416.0
Stars_58,0.00370303815517,0.00523928710371,0.00724096249458,0.000776821245203,-0.000194077746973,0.00125656259491,1.47953768967e+12
Stars_59,0.00372889927953,0.00527103675344,0.0071974083487,0.00066572945137,-2.88009672335e-05,0.00103747259867,495355637341.0
Stars_60,0.00369624113055,0.00514389421306,0.00710943098318,0.00542218596815,0.00810886435365,-0.00552813357406,2.13233266173e+12
Stars_61,0.00368596666263,0.00518100025054,0.0071387056139,0.000877726355484,0.000251849391579,-0.000254227643412,348666912697.0
Stars_62,0.00365035674958,0.00514887273998,0.00712192496046,0.00134494325133,0.00091684764247,0.00181801581363,360974201696.0
Stars_63,0.00361678485188,0.0051901545273,0.00711213923346,-0.00821963346967,0.00486352679039,-0.00487334669664,786312566540.0
Stars_64,0.00360330845251,0.00512304897544,0.00712622918274,-0.00132072504514,-0.0004772583196,-0.00647705957942,925898918508.0
Stars_65,0.00359488542826,0.00511218172256,0.00710901654351,0.00356461647461,-0.0066785575505,0.00670022294601,5.62800354667e+12
Stars_66,0.00357527704907,0.00515577040354,0.00713089414086,0.000577765235818,0.000844555491888,0.000940895394802,368423007517.0
Stars_67,0.0034992778595,0.00505991169993,0.00720740340361,0.000783084020746,0.000269032191918,0.000474110124348,773456218889.0
Stars_68,0.00351343109017,0.00501451957184,0.00714082923829,-0.002655087303,0.000506623068467,-0.00362067144304,398086499891.0
Stars_69,0.00349444023864,0.00503671589087,0.00709828031014,0.00125698536844,0.0014416222425,-0.00180583057644,1.86591187475e+12
Stars_70,0.00359299591136,0.00519193820675,0.00721218891211,0.000699991760246,-0.000280506457492,-1.82880701665e-05,385443666598.0
Stars_71,0.00364144148571,0.00530081609719,0.00729775244069,-0.00430002958307,0.00202722341245,-0.00045643615811,1.03861292727e+12
Stars_72,0.00369443710963,0.00526097575012,0.00725506502605,0.000215936920374,0.000344082207526,-1.06721461586e-05,266668765398.0
Stars_73,0.00377414444543,0.00531375926535,0.00740526568203,-0.000684559286886,0.000380896700051,0.000573799734763,349675568479.0
Stars_74,0.00374492164107,0.00542293628898,0.00750604696221,0.000412020327686,0.000429495275893,0.00129364189073,658123101949.0
Stars_75,0.00366214150641,0.00507527624491,0.00782713579899,-0.00324924318406,0.00284442589636,3.32211781685e-05,583630988022.0
Stars_76,0.00361332519969,0.00522506346987,0.0074737468085,0.000549144178952,0.000106190531906,0.000795158240395,875420867343.0
Stars_77,0.00354424172382,0.00520537323714,0.00739398155184,-6.9593837837e-05,-7.32305304857e-05,0.00197185720136,537467465935.0
Stars_78,0.00357591755357,0.00516691040951,0.00740186231212,0.00131395383181,0.000143849814716,0.00196492311756,325141557200.0
Stars_79,0.00357876761329,0.00514922332079,0.00740509340863,0.000268116785047,0.000249965898906,0.000467528233971,301536323424.0
Stars_80,0.00362587636327,0.00508738872399,0.00742934507113,-8.91588368403e-05,0.000472212375803,0.000804193780007,760823325326.0
Stars_81,0.00367933182547,0.00512703218554,0.0074474480346,0.000430827295659,0.000206153304933,0.000347754279585,277816082258.0
Stars_82,0.00359132026134,0.00510902628572,0.00746086094015,0.000319984769578,-0.000319367622614,-5.87319762124e-05,693446597718.0
Stars_83,0.00356939810308,0.00509887580161,0.00748307963941,0.00073906738103,-1.72928618944e-05,0.00143677029435,347787343588.0
Stars_84,0.00347069762741,0.00508155854664,0.00750495387136,0.0017310462756,0.00109664590855,-0.00216504138764,449359024909.0
Stars_85,0.00347112424151,0.00506233610231,0.00753105331253,0.00704819273547,0.00366721016148,0.00367331843973,647827459867.0
Stars_86,0.00349682381881,0.00507687207559,0.00746522822542,-0.00187833355853,-0.00556883907336,-0.00806982337225,1.10400411788e+12
Stars_87,0.00352300501647,0.00506080398299,0.00753266819445,0.00161262297392,-0.00146966404698,0.00255574884938,367662835907.0
Stars_88,0.00347138080767,0.00508317252902,0.00762150565986,0.00521769823335,4.49095500658e-05,0.0120296704191,1.0866307648e+12
Stars_89,0.00356802706866,0.00506316707447,0.00752948554839,0.00173527128253,0.000444584533046,-0.000967018458066,851235107060.0
Stars_90,0.00361417150734,0.00492725981284,0.00753675980364,-0.000297697855487,0.000657197453026,-0.00170625821427,1.40134793104e+12
Stars_91,0.00350343009177,0.00504510981807,0.00754555674823,4.84945709292e-05,0.000352932444852,0.00108920363214,423709065632.0
Stars_92,0.0034400392432,0.00505644198152,0.00771303290946,-0.000780776591039,0.000299712196029,-0.000885111410918,393796425550.0
Stars_93,0.00344630770658,0.00516871004626,0.00783721746195,0.00283936535705,0.00273150917144,0.0015237239368,2.41704540659e+12
Stars_94,0.00345147657971,0.00519183943943,0.00785853009053,0.00469566635873,-0.00385579709532,0.00286401396267,623521747439.0
Stars_95,0.00336239000613,0.00525232614886,0.00792159857699,-0.00247501587411,-0.00111314166869,0.00413887952079,1.29865369883e+12
Stars_96,0.00353347746188,0.00529042170203,0.0079013641044,-0.00512150679952,0.000484508053182,-0.00424624396665,1.03305987696e+12
